Project_Type,Project_Name,Brand,Qty,Real_Count,Order_List,Submit_List,Description,Year,Lead_Time,Parts_Arrival_Date,Installation_Complete_Date,Testing_Date,Cleaning,Delivery_Date,Remarks
Open Set,YS25/190,CSX,x1,1,,,KTA19-G3 x1 / Engine and Radiator only / Engine wiring,2025,15/12/2025,,,,,,
Open Set,TP25/206,MGK,x1,,,,KTA50-G3 / Evotech TCU428E (W63842) no PMG / No Control Panel; No Wiring,2026,15/2/2026,,,,,,
Open Set,TP25/204,Energen,x2,2,,,KTA38-G4 (41396840)/ Evotech TCU428C (W63842) with PMG   / KTA50-G3  (41395431)/ Evotech TCU428E with PMG/ Control Panel(K38 Right)(K50 Right) ; Engine Wiring included,2025,8/12/2025,26/11/2025,,,,,ENGINE月中到12月頭交貨
Enclosure,TP25/209,DPX,x1,1,,,KTA50-GS8 (41386348) / S7L1D-D41 (X25H334734) / FIEO; SEA8620; SmartGen 8A; 2500A ACB Motorized;,2025,30/12/2025,,,,,,欠電球 12月頭返
Open Set,TP25/207,Energen,x1,1,,,KTA38-G4 / Evotech TCU428C (W63842) with PMG / Control Panel(Right); Engine wiring included,2025,8/12/2025,26/11/2025,,,,,12月頭交貨
Enclosure,TP25/201,DPX,x2,2,,,KTA38-G5 x2 / S6L1D-F41 / 8620 / 1600A 4P MCCB / SmartGen 8A / ,2025,31/12/2025,,,,,,
Enclosure,TP25/210,DPX,x2,2,,,KTA38-G2A x2 / S6L1D-E41 X2 / FIEO  /  DSE 8620 / 4P1600A MCCB  /  50-60Hz 轉換 / 50hz:380-440; 60Hz:416-480,2026,31/1/2026,,,,,,
Scania,TP25/216,GE WA,x2,2,,,DC13 x2/IG1000/,2025,30/11/2025,18/11/2025,,,,,
Open Set,TP25/130,Drac Mechanical,x2,2,,,KTA38-G5 x2(41390297/41386615) / S6L1D-E41 x2 / Controller:IG200+AIN8 / 4P1600AMCCB,2025,15/12/2025,,,,,,
Enclosure,TP25/225,Taxtran Limited,x2,2,,,KTA50-G3 x2 (41395433/41395425) / S6L1D-H41 480V 60Hz (X24L514719/X24L514720) / 8620 / 2500A ACB /,2025,25/12/2025,13/11/2025,26/11/2025,3/12/2025,,,12中交期
,YS25/216,JEC,,,,,"No. of 9 Genset FAT
C450D5
C500D5
C550D5
C550D5
C640D5
C825D5
C200D5
C550D5---- 14/11 Arrive  20/11 PM TEST
C200D5
",2025,30/12/2025,,,,,,
